work_name,composer,style_period,pitch_range,harmonic_complexity,rhythmic_variability,note_density
Bach_Chorale_BWV1.6,Bach,Baroque,36,3.422360248447205,0.5153127088968881,23.714285714285715
Bach_Chorale_BWV10.7,Bach,Baroque,34,3.147058823529412,0.5850727595639379,9.636363636363637
Bach_Chorale_BWV14.5,Bach,Baroque,31,3.2467532467532467,0.3821071307565458,18.416666666666668
Bach_Chorale_BWV40.3,Bach,Baroque,32,3.2794117647058822,0.2943598601588322,17.0
Bach_Chorale_BWV64.2,Bach,Baroque,33,3.1864406779661016,0.3890511497792505,14.916666666666666
Corelli_Op3No1_Grave,Corelli,Baroque,48,2.5413533834586466,0.6940167989076961,13.36842105263158
Haydn_Op1No1_Mvt1,Haydn,Classical,45,2.2252747252747254,0.466589052994602,14.333333333333334
Haydn_Op74No1_Mvt1,Haydn,Classical,55,2.7412687099073416,0.9567644168686656,17.974193548387095
Mozart_K155_Mvt1,Mozart,Classical,52,2.6993185689948893,0.782579270383314,20.630252100840337
Mozart_K156_Mvt1,Mozart,Classical,48,2.4456692913385827,0.6028164113235747,7.616666666666666
Mozart_K80_Mvt1,Mozart,Classical,48,2.720064724919094,0.8870104387484565,20.0
Mozart_K458_Mvt1,Mozart,Classical,55,2.6739130434782608,0.8658511956828607,14.593639575971732
Beethoven_Op18No1_Mvt1,Beethoven,Classical,58,2.638646847770374,0.9635994302030648,12.936102236421725
Beethoven_Op18No3,Beethoven,Classical,61,2.7027227264308205,0.9777481721028616,12.13664596273292
Beethoven_Op59No1_Mvt1,Beethoven,Romantic_Early,60,2.810176831468784,0.995598915658825,14.1725
Beethoven_Op59No2_Mvt1,Beethoven,Romantic_Early,57,2.639962299717248,0.920485464704388,19.701149425287355
Beethoven_Op74,Beethoven,Romantic_Early,60,2.606711619883958,0.905039626047108,13.111310592459605
Beethoven_Op132,Beethoven,Romantic_Early,61,2.746994688286273,0.8512063781570054,14.99288256227758
Beethoven_Op133,Beethoven,Romantic_Early,58,2.5759127337488867,0.9348720447421328,13.066037735849056
Schumann_Op41No1_Mvt1,Schumann,Romantic_Early,53,2.641825095057034,0.6936083976678538,10.008021390374331
Mendelssohn_Op13,Mendelssohn,Romantic_Early,59,2.841977555353352,0.9294432718340608,15.466453674121404
Debussy_Op10,Debussy,Romantic_Late,59,3.0100454107609744,1.0194814765636109,19.765606595995287
Bartok_Op7,Bartok,Romantic_Late,64,2.8938428874734607,0.8537546836353443,14.433607520564042
Ravel_Quartet,Ravel,Romantic_Late,58,3.0816074188562594,0.8761101512561456,16.175742574257427
Dvorak_Op96,Dvorak,Romantic_Late,65,2.729113924050633,0.8608300222606395,14.962485345838218
Brahms_Op67,Brahms,Romantic_Late,60,2.7750572485467675,0.7352641610518404,15.11451247165533
