work_name,composer,pitch_range,harmonic_complexity,rhythmic_variability,note_density,style_period
Bach_Chorale_BWV1.6,Bach,36.0,3.42236,0.515313,23.714286,Baroque
Bach_Chorale_BWV10.7,Bach,34.0,3.147059,0.585073,9.636364,Baroque
Bach_Chorale_BWV14.5,Bach,31.0,3.246753,0.382107,18.416667,Baroque
Bach_Chorale_BWV40.3,Bach,32.0,3.279412,0.29436,17.0,Baroque
Bach_Chorale_BWV64.2,Bach,33.0,3.186441,0.389051,14.916667,Baroque
Corelli_Op3No1_Grave,Corelli,48.0,2.541353,0.694017,13.368421,Baroque
Haydn_Op1No1_AllMvts,Haydn,48.4,2.427376340240484,0.6297951726362915,19.1895891035236,Classical
Haydn_Op74No1_AllMvts,Haydn,54.75,2.703080648436601,0.7218050980511446,12.440160549009404,Classical
Mozart_K155_AllMvts,Mozart,48.666666666666664,2.6716761629282737,0.6996743075120108,16.704582415490467,Classical
Mozart_K156_AllMvts,Mozart,46.25,2.6867971573576455,0.6775799033657643,18.157726678291194,Classical
Mozart_K80_AllMvts,Mozart,49.0,2.5668335049672084,0.6980091960867658,15.05936581024609,Classical
Mozart_K458_AllMvts,Mozart,52.5,2.78474187914486,0.7184373565376682,19.629810170239733,Classical
Beethoven_Op18No1_AllMvts,Beethoven,55.75,2.696294388591313,0.7816422796217559,15.69301711737068,Classical
Beethoven_Op18No3_AllMvts,Beethoven,58.0,2.6963776235370807,0.7510709164964203,12.451472188444951,Classical
Beethoven_Op59No1_AllMvts,Beethoven,60.0,2.720482486578128,0.8855650494241152,18.028722512432445,Romantic_Early
Beethoven_Op59No2_AllMvts,Beethoven,59.25,2.5767837485464122,0.8236994826366679,15.532083745671281,Romantic_Early
Beethoven_Op74_Mvt1only,Beethoven,60.0,2.6745,0.9166,16.7557,Romantic_Early
Beethoven_Op132_Mvt1only,Beethoven,59.0,2.8315,1.0295,18.7433,Romantic_Early
Beethoven_Op133,Beethoven,60.0,2.5683,0.9147,13.1011,Romantic_Early
Schumann_Op41No1_AllMvts,Schumann,54.2,2.743321101396833,0.8148552974804242,15.737894573234732,Romantic_Early
Mendelssohn_Op13_AllMvts,Mendelssohn,57.5,2.7539470211932966,0.8632280733705301,15.731168943828706,Romantic_Early
Debussy_Op10_AllMvts,Debussy,56.5,2.9567364045156825,0.9567136405454837,20.10907811775351,Romantic_Late
Bartok_Op7_AllMvts,Bartok,60.333333333333336,3.005677280781596,0.8409907895424196,17.015960588089943,Romantic_Late
Ravel_Quartet_AllMvts,Ravel,56.75,3.078134745393054,0.8672924375177493,16.590645247066423,Romantic_Late
Dvorak_Op96_AllMvts,Dvorak,61.25,2.6959778160177246,0.8139109146102781,17.206895273551506,Romantic_Late
Brahms_Op67_AllMvts,Brahms,58.0,2.8214639728966038,0.6733333026952151,15.933977141699264,Romantic_Late
